Date,NYA,N225,IXIC,GSPTSE,HSI,GDAXI,SSMI,KS11,TWII,SS,SZ,N100,NSEI,JO
2012-06-21,7566.109863,8824.070313,2859.090088,11408.29981,19265.07031,6343.129883,6012.189941,1889.150024,7279.049805,2260.876953,9682.69043,594.929993,5165.0,34534.05078
2012-06-25,7491.870117,8734.620117,2836.159912,11330.40039,18897.44922,6132.390137,5944.47998,1825.380005,7166.379883,2224.114014,9414.209961,581.210022,5114.649902,33821.98047
2012-06-26,7527.080078,8663.990234,2854.060059,11334.40039,18981.83984,6136.689941,5957.720215,1817.810059,7137.930176,2222.066895,9446.589844,580.299988,5120.799805,33851.37109
2012-06-27,7598.049805,8730.490234,2875.320068,11410.90039,19176.94922,6228.990234,5996.529785,1817.650024,7183.009766,2216.934082,9416.5,589.849976,5141.899902,33748.12891
2012-06-28,7597.5,8874.110352,2849.48999,11424.7002,19025.26953,6149.910156,5986.850098,1819.180054,7169.609863,2195.843018,9383.269531,588.450012,5149.149902,33252.55078
2012-06-29,7801.839844,9006.780273,2935.050049,11596.59961,19441.46094,6416.279785,6066.859863,1854.01001,7296.279785,2225.429932,9500.320313,611.809998,5278.899902,33708.30859
2012-07-03,7901.669922,9066.589844,2976.080078,11848.79981,19735.5293,6578.209961,6194.080078,1867.819946,7418.359863,2229.191895,9607.330078,625.289978,5287.950195,33985.71094
2012-07-05,7837.77002,9079.799805,2976.120117,11817.0,19809.13086,6535.560059,6202.319824,1875.48999,7387.779785,2201.353027,9412.639648,620.369995,5327.299805,34222.57813
2012-07-06,7756.609863,9020.75,2937.330078,11660.0,19800.64063,6410.109863,6183.669922,1858.199951,7368.589844,2223.579102,9690.160156,611.48999,5316.950195,34226.21094
2012-07-09,7736.399902,8896.879883,2931.77002,11634.7002,19428.08984,6387.569824,6160.779785,1836.130005,7309.959961,2170.813965,9496.679688,608.450012,5275.149902,33931.10156
2012-07-10,7667.569824,8857.730469,2902.330078,11512.2002,19396.35938,6438.330078,6191.200195,1829.449951,7251.350098,2164.437988,9476.719727,613.809998,5345.350098,33998.60156
2012-07-11,7685.319824,8851.0,2887.97998,11544.59961,19419.86914,6453.850098,6174.75,1826.390015,7257.910156,2175.383057,9588.290039,610.630005,5306.299805,33724.69141
2012-07-12,7638.649902,8720.009766,2866.189941,11425.5,19025.10938,6419.350098,6147.569824,1785.390015,7130.930176,2185.490967,9753.490234,606.700012,5235.25,33390.51953
2012-07-13,7758.299805,8724.120117,2908.469971,11514.5,19092.63086,6557.100098,6181.810059,1812.890015,7104.27002,2185.89502,9792.490234,614.26001,5227.25,33792.75
2012-07-17,7794.77002,8755.0,2910.040039,11571.2002,19455.33008,6577.640137,6202.339844,1821.959961,7127.0,2161.186035,9560.030273,614.909973,5192.850098,33706.57031
2012-07-18,7831.089844,8726.740234,2942.600098,11579.2002,19239.88086,6684.419922,6265.5,1794.910034,7049.049805,2169.099121,9514.169922,624.0,5216.299805,34035.05859
2012-07-19,7849.75,8795.549805,2965.899902,11665.7002,19559.05078,6758.390137,6323.640137,1822.959961,7148.569824,2184.841064,9509.490234,630.840027,5242.700195,34291.83984
2012-07-20,7759.589844,8669.870117,2925.300049,11622.90039,19640.80078,6630.02002,6284.810059,1822.930054,7164.680176,2168.637939,9333.209961,620.340027,5205.100098,34225.42188
2012-07-23,7670.540039,8508.320313,2890.149902,11545.5,19053.4707,6419.330078,6180.439941,1789.439941,7028.72998,2141.4021,9186.019531,603.77002,5117.950195,33814.82813
2012-07-24,7590.609863,8488.089844,2862.98999,11467.0,18903.19922,6390.410156,6174.890137,1793.930054,7008.350098,2146.587891,9262.769531,599.929993,5128.200195,33998.44922
2012-07-25,7607.569824,8365.900391,2854.23999,11492.5,18877.33008,6406.52002,6180.77002,1769.310059,6979.129883,2136.150879,9155.339844,601.190002,5109.600098,34069.58984
2012-07-26,7754.509766,8443.099609,2893.25,11639.79981,18892.78906,6582.959961,6277.740234,1782.469971,6970.689941,2126.003906,9081.900391,621.030029,5043.0,34288.98047
2012-07-27,7912.160156,8566.639648,2958.090088,11766.40039,19274.96094,6689.399902,6362.819824,1829.160034,7124.490234,2128.764893,9087.129883,630.820007,5099.850098,34671.0
2012-07-30,7911.040039,8635.44043,2945.840088,11757.90039,19585.40039,6774.060059,6402.379883,1843.790039,7158.879883,2109.914063,9071.05957,638.840027,5199.799805,34958.58984
2012-07-31,7863.930176,8695.05957,2939.52002,11664.7002,19796.81055,6772.259766,6399.27002,1881.98999,7270.490234,2103.63501,9059.219727,632.169983,5229.0,34596.89844
2012-08-03,7939.549805,8555.110352,2967.899902,11662.59961,19666.17969,6865.660156,6461.540039,1848.680054,7217.509766,2132.795898,9076.620117,645.77002,5215.700195,35244.21875
2012-08-07,8017.709961,8803.30957,3015.860107,11863.5,20072.55078,6967.950195,6457.850098,1886.800049,7295.459961,2157.620117,9229.269531,657.51001,5336.700195,35487.26172
2012-08-08,8018.240234,8881.160156,3011.25,11781.0,20065.51953,6966.149902,6458.0,1903.22998,7319.799805,2160.98999,9210.669922,654.26001,5338.0,35494.64063
2012-08-09,8025.0,8978.599609,3018.639893,11858.09961,20269.4707,6964.990234,6505.290039,1940.589966,7433.700195,2174.102051,9337.540039,658.299988,5322.950195,35494.64063
